0.75,0.1,0.005,70
-0.0267,-6.2832,168.5545,0.0745
-0.0267,-4.7124,159.637,0.0349
-0.0267,-3.1416,153.2919,-0.0132
-0.0267,-1.5708,148.6173,-0.0663
-0.0267,0,145.0744,-0.1224
-0.0267,1.5708,142.3253,-0.1804
-0.0267,3.1416,140.1494,-0.2397
-0.0267,4.7124,138.3978,-0.2999
-0.0267,6.2832,136.9669,-0.3607
-0.02,-6.2832,134.8705,0.0331
-0.02,-4.7124,127.4466,0.006
-0.02,-3.1416,122.1644,-0.0342
-0.02,-1.5708,118.2728,-0.082
-0.02,0,115.3233,-0.1344
-0.02,1.5708,113.0347,-0.1898
-0.02,3.1416,111.2232,-0.2472
-0.02,4.7124,109.765,-0.306
-0.02,6.2832,108.5738,-0.3657
-0.0133,-6.2832,101.5656,-0.0009
-0.0133,-4.7124,95.5547,-0.0178
-0.0133,-3.1416,91.2778,-0.0515
-0.0133,-1.5708,88.1269,-0.0949
-0.0133,0,85.7388,-0.1443
-0.0133,1.5708,83.8857,-0.1976
-0.0133,3.1416,82.419,-0.2534
-0.0133,4.7124,81.2383,-0.311
-0.0133,6.2832,80.2738,-0.3699
-0.0067,-6.2832,68.64,-0.028
-0.0067,-4.7124,63.9612,-0.0367
-0.0067,-3.1416,60.6322,-0.0652
-0.0067,-1.5708,58.1796,-0.1052
-0.0067,0,56.3208,-0.1522
-0.0067,1.5708,54.8784,-0.2038
-0.0067,3.1416,53.7368,-0.2584
-0.0067,4.7124,52.8178,-0.315
-0.0067,6.2832,52.067,-0.3732
0,-6.2832,36.0934,-0.0485
0,-4.7124,32.6662,-0.051
0,-3.1416,30.2276,-0.0756
0,-1.5708,28.431,-0.1129
0,0,27.0693,-0.1582
0,1.5708,26.0128,-0.2085
0,3.1416,25.1765,-0.2621
0,4.7124,24.5033,-0.3181
0,6.2832,23.9534,-0.3757
0.0067,-6.2832,3.9261,-0.0629
0.0067,-4.7124,1.6695,-0.0611
0.0067,-3.1416,0.0639,-0.0828
0.0067,-1.5708,-1.119,-0.1184
0.0067,0,-2.0155,-0.1624
0.0067,1.5708,-2.7112,-0.2117
0.0067,3.1416,-3.2618,-0.2647
0.0067,4.7124,-3.7051,-0.3202
0.0067,6.2832,-4.0671,-0.3774
0.0133,-6.2832,-27.8621,-0.0715
0.0133,-4.7124,-29.0287,-0.0671
0.0133,-3.1416,-29.8588,-0.0872
0.0133,-1.5708,-30.4703,-0.1217
0.0133,0,-30.9339,-0.1649
0.0133,1.5708,-31.2935,-0.2137
0.0133,3.1416,-31.5782,-0.2663
0.0133,4.7124,-31.8073,-0.3215
0.0133,6.2832,-31.9945,-0.3785
0.02,-6.2832,-59.2711,-0.0748
0.02,-4.7124,-59.4285,-0.0694
0.02,-3.1416,-59.5405,-0.0889
0.02,-1.5708,-59.6231,-0.1229
0.02,0,-59.6856,-0.1658
0.02,1.5708,-59.7341,-0.2145
0.02,3.1416,-59.7726,-0.2669
0.02,4.7124,-59.8035,-0.322
0.02,6.2832,-59.8287,-0.3789
0.0267,-6.2832,-90.3009,-0.0732
0.0267,-4.7124,-89.5299,-0.0683
0.0267,-3.1416,-88.9813,-0.0881
0.0267,-1.5708,-88.5771,-0.1223
0.0267,0,-88.2708,-0.1654
0.0267,1.5708,-88.0331,-0.2141
0.0267,3.1416,-87.845,-0.2666
0.0267,4.7124,-87.6935,-0.3217
0.0267,6.2832,-87.5698,-0.3787
