3.1,6.4381,6.9378,-2.598,-1.6807,2.0525
3.1333,6.3577,6.8598,-2.2717,-2.136,2.0841
3.1667,6.3002,6.7976,-1.9247,-2.5569,2.1156
3.2,6.2312,6.7076,-1.541,-2.9378,2.1476
3.2333,6.1982,6.6043,-1.1573,-3.243,2.1831
3.2667,6.1519,6.4843,-0.80804,-3.5171,2.2187
3.3,6.136,6.3763,-0.44985,-3.6998,2.2543
3.3333,6.1342,6.2365,-0.19229,-3.7611,2.2905
3.3667,6.1287,6.1147,-0.03883,-3.6986,2.3294
3.4,6.1297,5.9892,0.046123,-3.5008,2.3682
3.4333,6.1253,5.8658,0.070821,-3.1883,2.4092
3.4667,6.1291,5.7931,0.010774,-2.8571,2.4505
3.5,6.138,5.6763,-0.025598,-2.4744,2.4929
3.5333,6.1123,5.6132,-0.041746,-2.101,2.5365
3.5667,6.1204,5.5492,-0.076042,-1.7107,2.5812
3.6,6.1122,5.4946,-0.11012,-1.3716,2.6274
3.6333,6.1475,5.4666,-0.079303,-1.0293,2.6736
3.6667,6.0966,5.4306,-0.057896,-0.71753,2.7198
3.7,6.1007,5.39,-0.028015,-0.39068,2.7695
3.7333,6.1192,5.3978,0.017128,-0.08228,2.8192
3.7667,6.1148,5.4154,0.042718,0.1816,2.8689
3.8,6.1285,5.4243,0.081195,0.47853,2.9186
3.8333,6.1313,5.4355,0.10115,0.76479,2.9712
3.8667,6.1386,5.4726,0.12563,1.0255,3.0246
3.9,6.1401,5.52,0.14215,1.2831,3.078
3.9333,6.1278,5.56,0.13701,1.5726,3.1314
3.9667,6.124,5.5985,0.13024,1.8075,3.185
4,6.14,5.6906,0.11674,2.0388,3.2411
4.0333,6.1399,5.7592,0.1418,2.2491,3.2972
4.0667,6.1458,5.8241,0.13914,2.4335,3.354
4.1,6.1572,5.9141,0.13254,2.5751,3.4118
4.1333,6.1729,6.0039,0.17377,2.6745,3.4696
4.1667,6.1541,6.0781,0.25487,2.7004,3.5287
4.2,6.1709,6.167,0.38537,2.6468,3.5883
4.2333,6.18,6.2772,0.54682,2.546,3.648
4.2667,6.2168,6.3613,0.72399,2.4077,3.7077
4.3,6.2331,6.4299,0.91603,2.218,3.7683
4.3333,6.2752,6.4808,1.1052,2.018,3.8297
4.3667,6.3062,6.5654,1.3249,1.8038,3.8911
4.4,6.3647,6.6138,1.4837,1.5853,3.9524
4.4333,6.4181,6.6639,1.6438,1.3716,4.0142
4.4667,6.4646,6.7108,1.7785,1.1917,4.0768
4.5,6.546,6.7155,1.8815,1.024,4.1393
4.5333,6.5968,6.7732,1.9349,0.88165,4.2018
4.5667,6.6538,6.7976,1.9685,0.78777,4.2644
4.6,6.7303,6.8229,1.9621,0.73525,4.3274
4.6333,6.7769,6.8489,1.9318,0.69561,4.3904
4.6667,6.882,6.8617,1.8691,0.70461,4.4535
4.7,6.908,6.879,1.7833,0.74183,4.5165
4.7333,6.9772,6.9286,1.656,0.79976,4.5794
4.7667,7.02,6.9391,1.5159,0.85607,4.6422
4.8,7.0868,6.9801,1.3883,0.9434,4.705
4.8333,7.1233,7.0228,1.1941,1.0114,4.7678
4.8667,7.1397,7.0504,1.0591,1.0837,4.8302
4.9,7.1717,7.0957,0.91893,1.1368,4.892
4.9333,7.2276,7.1258,0.76924,1.1554,4.9538
4.9667,7.2353,7.1689,0.61306,1.1762,5.0156
5,7.2614,7.2238,0.48153,1.178,5.0773
5.0333,7.252,7.2639,0.36301,1.1731,5.1387
5.0667,7.2907,7.2858,0.23695,1.1445,5.1983
5.1,7.287,7.3134,0.13573,1.1195,5.2579
5.1333,7.2943,7.346,0.052444,1.0759,5.3176
5.1667,7.2889,7.3913,-0.054034,1.0083,5.3772
5.2,7.3026,7.4246,-0.12137,0.93628,5.4368
5.2333,7.2776,7.4702,-0.17092,0.82725,5.4943
5.2667,7.2869,7.4931,-0.20846,0.7488,5.5505
5.3,7.2871,7.5141,-0.24411,0.62188,5.6068
5.3333,7.241,7.5082,-0.28767,0.50359,5.6631
5.3667,7.2445,7.5359,-0.31795,0.38643,5.7193
5.4,7.2383,7.5412,-0.33809,0.26397,5.7756
5.4333,7.213,7.558,-0.34719,0.12798,5.8284
5.4667,7.2189,7.568,-0.35133,-0.00031885,5.8802
5.5,7.1801,7.5514,-0.33686,-0.1223,5.932
5.5333,7.197,7.5279,-0.3252,-0.2578,5.9839
5.5667,7.1725,7.5366,-0.3153,-0.37334,6.0357
5.6,7.1861,7.5197,-0.28076,-0.48384,6.0874
5.6333,7.1632,7.5287,-0.2721,-0.61546,6.1339
5.6667,7.146,7.4769,-0.24352,-0.75019,6.1804
5.7,7.1739,7.4479,-0.20814,-0.85063,6.227
5.7333,7.1398,7.436,-0.19151,-0.94332,6.2735
5.7667,7.127,7.4023,-0.14188,-1.0345,6.32
5.8,7.1359,7.3446,-0.13656,-1.1113,6.365
5.8333,7.1258,7.3278,-0.12226,-1.158,6.4058
5.8667,7.1308,7.2741,-0.096083,-1.2083,6.4466
5.9,7.1211,7.2466,-0.07655,-1.2402,6.4874
5.9333,7.1253,7.1839,-0.077411,-1.255,6.5282
5.9667,7.1229,7.1457,-0.084305,-1.2309,6.569
6,7.1203,7.1001,-0.10065,-1.1994,6.6047
6.0333,7.1035,7.071,-0.1227,-1.1556,6.64
6.0667,7.1185,7.0461,-0.13661,-1.0801,6.6753
6.1,7.0947,7.0142,-0.17191,-1.0429,6.7106
6.1333,7.0908,6.9758,-0.2044,-0.94807,6.7436
6.1667,7.0958,6.937,-0.26001,-0.85839,6.7732
6.2,7.063,6.8974,-0.29844,-0.77222,6.8027
6.2333,7.0745,6.8762,-0.32244,-0.67353,6.8323
6.2667,7.0503,6.8676,-0.34414,-0.60545,6.8618
6.3,7.0466,6.8481,-0.38537,-0.47201,6.8912
6.3333,7.0199,6.8315,-0.41651,-0.38653,6.9145
6.3667,7.0291,6.8308,-0.44969,-0.29559,6.9377
6.4,7.0041,6.8162,-0.45249,-0.21553,6.961
6.4333,6.9704,6.7982,-0.44861,-0.13727,6.9843
6.4667,6.9684,6.8063,-0.44357,-0.056083,7.0075
6.5,6.949,6.7955,-0.4554,0.0069631,7.0266
6.5333,6.9278,6.8046,-0.4543,0.092838,7.0436
6.5667,6.9148,6.7954,-0.42177,0.11422,7.0606
