Load (bolts),Pressure (psi),dL (ticks),dphi (ticks),Load (lbs in),Pressure (psi),dL (in),dphi (rad),Load (Nm),Pressure (psi),dL/L_rest (%),dphi/L_rest (rad/in)
1,0,,-376,0.117933525,0,0,-0.4724955351,0.01332469919,0,0,-0.138969275
1,3,,-376,0.117933525,3,0,-0.4724955351,0.01332469919,3,0,-0.138969275
1,4,,-374,0.117933525,4,0,-0.469982261,0.01332469919,4,0,-0.1382300768
1,5,,-356,0.117933525,5,0,-0.4473627939,0.01332469919,5,0,-0.1315772923
1,6.3,,-292,0.117933525,6.3,0,-0.3669380219,0.01332469919,6.3,0,-0.1079229476
1,8,,-182,0.117933525,8,0,-0.2287079452,0.01332469919,8,0,-0.0672670427
1,8.5,,-122,0.117933525,8.5,0,-0.1533097215,0.01332469919,8.5,0,-0.04509109456
1,10,,56,0.117933525,10,0,0.07037167544,0.01332469919,10,0,0.0206975516
1,8.7,,29,0.117933525,8.7,0,0.03644247478,0.01332469919,8.7,0,0.01071837494
1,6.2,,-209,0.117933525,6.2,0,-0.2626371458,0.01332469919,6.2,0,-0.07724621936
1,4,,-355,0.117933525,4,0,-0.4461061568,0.01332469919,4,0,-0.1312076932
1,7.5,,-194,0.117933525,7.5,0,-0.2437875899,0.01332469919,7.5,0,-0.07170223233
1,10.1,,65,0.117933525,10.1,0,0.08168140899,0.01332469919,10.1,0,0.02402394382
1,5,,-300,0.117933525,5,0,-0.3769911184,0.01332469919,5,0,-0.1108797407
2,2.8,,-622,0.23586705,2.8,0,-0.7816282522,0.02664939839,2.8,0,-0.2298906624
2,4,,-619,0.23586705,4,0,-0.777858341,0.02664939839,4,0,-0.228781865
2,5.3,,-611,0.23586705,5.3,0,-0.7678052445,0.02664939839,5.3,0,-0.2258250719
2,6.5,,-605,0.23586705,6.5,0,-0.7602654222,0.02664939839,6.5,0,-0.2236074771
2,7.5,,-578,0.23586705,7.5,0,-0.7263362215,0.02664939839,7.5,0,-0.2136283004
2,8.5,,-515,0.23586705,8.5,0,-0.6471680866,0.02664939839,8.5,0,-0.1903435549
2,9.8,,-379,0.23586705,9.8,0,-0.4762654463,0.02664939839,9.8,0,-0.1400780724
2,10,,-356,0.23586705,10,0,-0.4473627939,0.02664939839,10,0,-0.1315772923
2,7.5,,-414,0.23586705,7.5,,-0.5202477434,0.02664939839,7.5,,-0.1530140422
2,8.5,,-413,0.23586705,8.5,,-0.5189911064,0.02664939839,8.5,,-0.1526444431
2,6.3,,-526,0.23586705,6.3,,-0.6609910943,0.02664939839,6.3,,-0.1944091454
2,7.5,,-525,0.23586705,7.5,,-0.6597344573,0.02664939839,7.5,,-0.1940395463
2,5.5,,-613,0.23586705,5.5,,-0.7703185187,0.02664939839,5.5,,-0.2265642702
2,6.5,,-612,0.23586705,6.5,,-0.7690618816,0.02664939839,6.5,,-0.2261946711
2,4,,-730,0.23586705,4,,-0.9173450548,0.02664939839,4,,-0.2698073691
2,10,,-376,0.23586705,10,,-0.4724955351,0.02664939839,10,,-0.138969275
2,5,,-681,0.23586705,5,,-0.8557698388,0.02664939839,5,,-0.2516970114
3,3.5,,-886,0.353800575,3.5,,-1.113380436,0.03997409758,3.5,,-0.3274648342
3,5,,-880,0.353800575,5,,-1.105840614,0.03997409758,5,,-0.3252472394
3,6,,-873,0.353800575,6,,-1.097044155,0.03997409758,6,,-0.3226600455
3,7.5,,-864,0.353800575,7.5,,-1.085734421,0.03997409758,7.5,,-0.3193336533
3,8.5,,-845,0.353800575,8.5,,-1.061858317,0.03997409758,8.5,,-0.3123112697
3,10,,-725,0.353800575,10,,-0.9110618695,0.03997409758,10,,-0.2679593734
3,7.5,,-759,0.353800575,7.5,,-0.9537875296,0.03997409758,7.5,,-0.280525744
3,8.5,,-759,0.353800575,8.5,,-0.9537875296,0.03997409758,8.5,,-0.280525744
3,6.4,,-846,0.353800575,6.4,,-1.063114954,0.03997409758,6.4,,-0.3126808688
3,7.5,,-846,0.353800575,7.5,,-1.063114954,0.03997409758,7.5,,-0.3126808688
3,5,,-962,0.353800575,5,,-1.208884853,0.03997409758,5,,-0.3555543686
3,6.2,,-962,0.353800575,6.2,,-1.208884853,0.03997409758,6.2,,-0.3555543686
3,3.8,,-1052,0.353800575,3.8,,-1.321982189,0.03997409758,3.8,,-0.3888182908
3,5,,-1051,0.353800575,5,,-1.320725552,0.03997409758,5,,-0.3884486916
