70,0.1,0.005,30,60,90,120,150
-0.05,-6.2832,21.96,0.028539,30,3.4766e-06,0,0
-0.05,-6.0267,21.977,0.027557,30,3.5059e-06,0,0
-0.05,-5.7703,21.994,0.026575,30,3.5356e-06,0,0
-0.05,-5.5138,22.011,0.025594,30,3.5657e-06,0,0
-0.05,-5.2574,22.028,0.024613,30,3.5961e-06,0,0
-0.05,-5.0009,22.045,0.023634,30,3.6269e-06,0,0
-0.05,-4.7444,22.063,0.022655,30,3.6582e-06,0,0
-0.05,-4.488,22.081,0.021677,30,3.6898e-06,0,0
-0.05,-4.2315,22.099,0.020699,30,3.7219e-06,0,0
-0.05,-3.9751,22.117,0.019723,30,3.7543e-06,0,0
-0.05,-3.7186,22.135,0.018748,30,3.7872e-06,0,0
-0.05,-3.4622,22.154,0.017773,30,3.8206e-06,0,0
-0.05,-3.2057,22.173,0.016799,30,3.8543e-06,0,0
-0.05,-2.9493,22.193,0.015827,30,3.8885e-06,0,0
-0.05,-2.6928,22.212,0.014855,30,3.9232e-06,0,0
-0.05,-2.4363,22.232,0.013884,30,3.9584e-06,0,0
-0.05,-2.1799,22.252,0.012914,30,3.994e-06,0,0
-0.05,-1.9234,22.272,0.011945,30,4.0301e-06,0,0
-0.05,-1.667,22.293,0.010978,30,4.0667e-06,0,0
-0.05,-1.4105,22.314,0.010011,30,4.1038e-06,0,0
-0.05,-1.1541,22.335,0.0090452,30,4.1414e-06,0,0
-0.05,-0.8976,22.357,0.0080807,30,4.1795e-06,0,0
-0.05,-0.64114,22.378,0.0071173,30,4.2182e-06,0,0
-0.05,-0.38468,22.401,0.0061551,30,4.2573e-06,0,0
-0.05,-0.12823,22.423,0.005194,30,4.2971e-06,0,0
-0.05,0.12823,22.446,0.0042342,30,4.3374e-06,0,0
-0.05,0.38468,22.469,0.0032756,30,4.3782e-06,0,0
-0.05,0.64114,22.492,0.0023183,30,4.4197e-06,0,0
-0.05,0.8976,22.516,0.0013623,30,4.4617e-06,0,0
-0.05,1.1541,22.54,0.00040767,30,4.5044e-06,0,0
-0.05,1.4105,22.564,-0.00054562,30,4.5476e-06,0,0
-0.05,1.667,22.589,-0.0014975,30,4.5915e-06,0,0
-0.05,1.9234,22.614,-0.0024479,30,4.636e-06,0,0
-0.05,2.1799,22.639,-0.0033969,30,4.6812e-06,0,0
-0.05,2.4363,22.665,-0.0043444,30,4.727e-06,0,0
-0.05,2.6928,22.692,-0.0052903,30,4.7736e-06,0,0
-0.05,2.9493,22.718,-0.0062346,30,4.8208e-06,0,0
-0.05,3.2057,22.745,-0.0071773,30,4.8687e-06,0,0
-0.05,3.4622,22.773,-0.0081184,30,4.9173e-06,0,0
-0.05,3.7186,22.8,-0.0090577,30,4.9666e-06,0,0
-0.05,3.9751,22.829,-0.0099953,30,5.0167e-06,0,0
-0.05,4.2315,22.857,-0.010931,30,5.0676e-06,0,0
-0.05,4.488,22.886,-0.011865,30,5.1192e-06,0,0
-0.05,4.7444,22.916,-0.012797,30,5.1717e-06,0,0
-0.05,5.0009,22.946,-0.013727,30,5.2249e-06,0,0
-0.05,5.2574,22.977,-0.014655,30,5.279e-06,0,0
-0.05,5.5138,23.008,-0.015582,30,5.3339e-06,0,0
-0.05,5.7703,23.039,-0.016506,30,5.3897e-06,0,0
-0.05,6.0267,23.071,-0.017427,30,5.4463e-06,0,0
-0.05,6.2832,23.103,-0.018347,30,5.5039e-06,0,0
-0.047959,-6.2832,21.128,0.02867,30,3.6095e-06,0,0
-0.047959,-6.0267,21.145,0.027689,30,3.6399e-06,0,0
-0.047959,-5.7703,21.161,0.026708,30,3.6707e-06,0,0
-0.047959,-5.5138,21.178,0.025729,30,3.7019e-06,0,0
-0.047959,-5.2574,21.195,0.02475,30,3.7335e-06,0,0
-0.047959,-5.0009,21.212,0.023772,30,3.7655e-06,0,0
-0.047959,-4.7444,21.23,0.022795,30,3.7979e-06,0,0
-0.047959,-4.488,21.248,0.021819,30,3.8308e-06,0,0
-0.047959,-4.2315,21.265,0.020844,30,3.8641e-06,0,0
-0.047959,-3.9751,21.284,0.019869,30,3.8978e-06,0,0
-0.047959,-3.7186,21.302,0.018896,30,3.9319e-06,0,0
-0.047959,-3.4622,21.321,0.017923,30,3.9665e-06,0,0
-0.047959,-3.2057,21.34,0.016951,30,4.0016e-06,0,0
-0.047959,-2.9493,21.359,0.015981,30,4.0371e-06,0,0
-0.047959,-2.6928,21.378,0.015011,30,4.0731e-06,0,0
-0.047959,-2.4363,21.398,0.014042,30,4.1096e-06,0,0
-0.047959,-2.1799,21.418,0.013074,30,4.1466e-06,0,0
-0.047959,-1.9234,21.438,0.012108,30,4.1841e-06,0,0
-0.047959,-1.667,21.458,0.011142,30,4.222e-06,0,0
-0.047959,-1.4105,21.479,0.010178,30,4.2606e-06,0,0
-0.047959,-1.1541,21.5,0.0092144,30,4.2996e-06,0,0
-0.047959,-0.8976,21.521,0.0082522,30,4.3392e-06,0,0
-0.047959,-0.64114,21.543,0.0072912,30,4.3793e-06,0,0
-0.047959,-0.38468,21.565,0.0063314,30,4.42e-06,0,0
-0.047959,-0.12823,21.587,0.0053729,30,4.4612e-06,0,0
-0.047959,0.12823,21.61,0.0044156,30,4.5031e-06,0,0
-0.047959,0.38468,21.633,0.0034595,30,4.5455e-06,0,0
-0.047959,0.64114,21.656,0.0025049,30,4.5885e-06,0,0
-0.047959,0.8976,21.679,0.0015515,30,4.6322e-06,0,0
-0.047959,1.1541,21.703,0.00059961,30,4.6765e-06,0,0
